state_name,district_name,year_month,gw_level_m_bgl
arunachal pradesh,east siang,2018-08,4.37
arunachal pradesh,east siang,2018-11,7.46
arunachal pradesh,east siang,2019-01,6.47
arunachal pradesh,east siang,2019-03,4.415
arunachal pradesh,east siang,2019-04,6.75
arunachal pradesh,east siang,2019-08,2.065
arunachal pradesh,east siang,2019-11,7.43
arunachal pradesh,east siang,2020-01,6.109999999999999
arunachal pradesh,east siang,2020-11,3.635
arunachal pradesh,east siang,2021-01,6.075
arunachal pradesh,lohit,2013-01,2.71
arunachal pradesh,lohit,2013-03,3.45
arunachal pradesh,lohit,2013-08,1.3
arunachal pradesh,lohit,2014-01,2.71
arunachal pradesh,lohit,2014-03,5.0
arunachal pradesh,lohit,2014-11,2.32
arunachal pradesh,lohit,2015-03,5.06
arunachal pradesh,lohit,2015-08,0.88
arunachal pradesh,lohit,2015-11,2.29
arunachal pradesh,lohit,2016-01,2.71
arunachal pradesh,lohit,2016-03,2.79
arunachal pradesh,lohit,2016-08,1.23
arunachal pradesh,lohit,2016-11,3.0
arunachal pradesh,lohit,2017-01,2.82
arunachal pradesh,lohit,2017-03,4.52
arunachal pradesh,lohit,2017-08,2.62
arunachal pradesh,lohit,2017-11,3.27
arunachal pradesh,lohit,2018-03,4.54
arunachal pradesh,lohit,2018-08,3.75
arunachal pradesh,lohit,2018-11,2.99
arunachal pradesh,lohit,2019-01,4.54
arunachal pradesh,lohit,2019-03,4.82
arunachal pradesh,lohit,2019-08,3.13
arunachal pradesh,lohit,2019-11,4.2
arunachal pradesh,lohit,2020-01,4.1
arunachal pradesh,lohit,2021-01,4.37
arunachal pradesh,tirap,2013-01,5.165
